Time,Force
(s),(N)
"12.7450","0.0012"
"12.7650","0.0008"
"12.7850","0.0003"
"12.8050","-0.0026"
"12.8250","-0.0021"
"12.8450","0.0023"
"12.8650","0.0010"
"12.8850","0.0022"
"12.9050","-0.0013"
"12.9250","0.0011"
"12.9450","-0.0012"
"12.9650","0.0013"
"12.9850","-0.0017"
"13.0050","0.0037"
"13.0250","0.0015"
"13.0450","0.0018"
"13.0650","-0.0025"
"13.0850","0.0000"
"13.1050","0.0010"
"13.1250","0.0024"
"13.1450","-0.0012"
"13.1650","0.0030"
"13.1850","0.0008"
"13.2050","-0.0002"
"13.2250","-0.0030"
"13.2450","0.0012"
"13.2650","0.0011"
"13.2850","0.0014"
"13.3050","0.0011"
"13.3250","0.0011"
"13.3450","0.0018"
"13.3650","0.0001"
"13.3850","0.0011"
"13.4050","0.0007"
"13.4250","0.0012"
"13.4450","-0.0011"
"13.4650","0.0017"
"13.4850","-0.0013"
"13.5050","0.0022"
"13.5250","0.0022"
"13.5450","0.0011"
"13.5650","-0.0028"
"13.5850","0.0010"
"13.6050","0.0005"
"13.6250","0.0013"
"13.6450","-0.0003"
"13.6650","0.0017"
"13.6850","0.0011"
"13.7050","-0.0004"
"13.7250","-0.0025"
"13.7450","0.0008"
"13.7650","0.0031"
"13.7850","0.0012"
"13.8050","-0.0012"
"13.8250","0.0032"
"13.8450","0.0060"
"13.8650","-0.0188"
"13.8850","0.0053"
"13.9050","-0.0211"
"13.9250","0.0086"
"13.9450","0.0303"
"13.9650","-0.0136"
"13.9850","-0.0102"
"14.0050","0.0248"
"14.0250","-0.0131"
"14.0450","-0.0210"
"14.0650","0.0108"
"14.0850","0.0115"
"14.1050","0.0059"
"14.1250","0.0001"
"14.1450","-0.0082"
"14.1650","0.0002"
"14.1850","0.0011"
"14.2050","-0.0080"
"14.2250","0.0100"
"14.2450","0.0097"
"14.2650","-0.0083"
"14.2850","0.0033"
"14.3050","-0.0012"
"14.3250","-0.0153"
"14.3450","0.0086"
"14.3650","0.0144"
"14.3850","-0.0033"
"14.4050","-0.0006"
"14.4250","-0.0021"
"14.4450","-0.0040"
"14.4650","0.0005"
"14.4850","-0.0070"
"14.5050","0.0080"
"14.5250","0.0153"
"14.5450","-0.0044"
"14.5650","-0.0110"
"14.5850","0.0015"
"14.6050","-0.0014"
"14.6250","0.0018"
"14.6450","0.0069"
"14.6650","0.0050"
"14.6850","0.0017"
"14.7050","-0.0028"
"14.7250","-0.0084"
"14.7450","-0.0009"
"14.7650","0.0045"
"14.7850","0.0026"
"14.8050","0.0102"
"14.8250","-0.0008"
"14.8450","-0.0081"
"14.8650","-0.0013"
"14.8850","0.0019"
"14.9050","-0.0053"
"14.9250","0.0061"
"14.9450","0.0069"
"14.9650","0.0021"
"14.9850","-0.0067"
"15.0050","-0.0048"
"15.0250","0.0014"
"15.0450","0.0056"
"15.0650","-0.0006"
"15.0850","0.0039"
"15.1050","0.0047"
"15.1250","-0.0029"
"15.1450","-0.0063"
"15.1650","0.0010"
"15.1850","0.0014"
"15.2050","0.0049"
